,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed
Nikola Jokić,31,"$55,224,526","$59,033,114","$62,841,702",,,,"$114,257,640"
Jamal Murray,29,"$46,394,100","$50,105,628","$53,817,156","$57,528,684",,,"$207,845,568"
Aaron Gordon,30,"$22,841,455","$33,658,037","$36,350,680","$39,043,323",,,"$92,850,172"
Cameron Johnson,30,"$21,057,065","$23,062,500",,,,,"$44,119,565"
Jonas Valančiūnas,34,"$10,395,000","$10,000,000",,,,,"$10,395,000"
Zeke Nnaji,25,"$8,177,778","$7,466,667","$7,466,667",,,,"$15,644,445"
Christian Braun,25,"$4,921,797","$21,551,726","$23,275,863","$25,000,000","$26,724,137","$28,448,274","$129,921,797"
Peyton Watson,23,"$4,356,476",,,,,,"$4,356,476"
DaRon Holmes,23,"$3,218,760","$3,372,120","$5,547,138",,,,"$6,590,880"
Julian Strawther,24,"$2,674,200","$4,826,931",,,,,"$7,501,131"
Tim Hardaway Jr.,34,"$2,296,274",,,,,,"$2,296,274"
Bruce Brown,29,"$2,296,274",,,,,,"$2,296,274"
Jalen Pickett,26,"$2,221,677","$2,406,205",,,,,"$2,221,677"
Spencer Jones,24,"$623,967",,,,,,"$623,967"
